,Details about  Men's Watch Relojes De Hombre Stainless Steel Quartz Luminous Classic Watches,19.89,639,Unnamed: 3,winterfell_gifts,4543,99.4,"A brand-new, unused, and unworn item (including handmade items) in the original packaging (such as ",Fngeen,Unnamed: 9,44 viewed per hour,Details about  Men's Sport Quartz Date Nylon Strap Army Military Wrist Watches Canvas Band,8.54,703,bestseller2046,117636,Unbranded,20 viewed per day,641,4542
53,,,,13 product ratings,,,100.0,"A brand-new, unused, and unworn item (including handmade items) in the original packaging (such as ",,,,Details about  Invicta Men's 52mm PRO DIVER SCUBA Chrono COMBAT Black IRIDESCENT Abalone Watch,99.89,2,invicta_deals,21038.0,Invicta,16 viewed per hour,,
54,,,,1 product rating,,,100.0,,,,,Details about  Citizen Men's Quartz Chronograph Black Dial Date Display 40mm Watch AN8170-59E,59.99,88,officialwatchdeals,33655.0,Citizen,260 viewed per day,,
55,,,,,,,98.7,"A brand-new, unused, and unworn item (including handmade items) in the original packaging (such as ",,,,Details about  Casio Men's F91W-1 'Classic' Digital Black Resin Watch,8.99,3,watchingo,16095.0,Casio,23 viewed per hour,,
56,,,,2 product ratings,,,99.7,"A brand-new, unused, and unworn item (including handmade items) in the original packaging (such as ",,,,Details about  Guess Men's Gold Tone Silicone Band Multifunction Black Dial Watch - W1177G2 NEW,41.99,65,dexclusive-fashion,22906.0,Guess,9 viewed per hour,,
57,,,,19 product ratings,,,100.0,"A brand-new, unused, and unworn item (including handmade items) in the original packaging (such as ",,,,"Details about  New Invicta Men's 52mm Pro Diver ""COMBAT SEAL"" Black/Gold Dial Chrono S.S Watch",102.99,176,invicta-boutique,8070.0,Invicta,14 viewed per hour,,
58,,,,75 product ratings,,,100.0,"A brand-new, unused, and unworn item (including handmade items) in the original packaging (such as ",,,,Details about  Women's Watch Michael Kors MK6096 'Wren' Luxury Watches Rose Gold Tone,149.99,52,goldandjewelryllc,572.0,Michael Kors,12 viewed per hour,,
59,,,,2 product ratings,,,99.8,"A brand-new, unused, and unworn item (including handmade items) in the original packaging (such as ",,,,Details about  Seiko Men's Neo Sports SKS605 Black Dial Stainless Steel Watch,95.0,35,passthewatch,10126.0,Seiko,8 viewed per hour,,
60,,,,6 product ratings,,,99.7,,,,,Details about  Bulova Curv Men's Quartz 262 kHz Chronograph Gold-Tone 45mm Watch 97A125,199.99,229,watcheshalfprice,66154.0,Bulova,179 viewed per day,,
61,,,,,,,99.3,"A brand-new, unused, and unworn item (including handmade items) in the original packaging (such as ",,,,Details about  Men Military Army Green Analog Digital Quartz Nylon Canvas Wrist Watch Sport US,18.8,"6,548",opticalcare,27214.0,Ohsen,18 viewed per hour,,
62,,,,3 product ratings,,,99.7,,,,,Details about  Bulova Women's Quartz Swarovski Crystal Accents Two-Tone 32mm Watch 98L246,109.99,141,watcheshalfprice,66154.0,Bulova,,,
63,,,,,,,99.4,"A brand-new, unused, and unworn item (including handmade items) in the original packaging (such as ",,,,Details about  Mens Watches Chronograph Quartz Calendar Waterproof Military Stainless Steel ,25.99,209,winterfell_gifts,4542.0,Curren,107 viewed per day,,
64,,,,40 product ratings,,,99.7,,,,,Details about  Bulova Men's Quartz Diamond Accent Markers Gold Tone 42.5mm Watch 98D125,79.99,704,watcheshalfprice,66154.0,Bulova,8 watched in last 24 hours,,
65,,,,2 product ratings,,,99.7,,,,,Details about  Bulova Women's Quartz Diamond Accents Date Display Two Tone 26mm Watch 98R199,84.99,150,watcheshalfprice,66154.0,Bulova,89 viewed per day,,
66,,,,75 product ratings,,,100.0,"A brand-new, unused, and unworn item (including handmade items) in the original packaging (such as ",,,,Details about  Women's Watch Michael Kors MK6096 'Wren' Luxury Watches Rose Gold Tone,149.99,52,goldandjewelryllc,572.0,Michael Kors,12 viewed per hour,,
67,,,,2 product ratings,,,99.8,"A brand-new, unused, and unworn item (including handmade items) in the original packaging (such as ",,,,Details about  Seiko Men's Neo Sports SKS605 Black Dial Stainless Steel Watch,95.0,35,passthewatch,10126.0,Seiko,8 viewed per hour,,
68,,,,3 product ratings,,,100.0,,,,,Details about  Citizen Eco-Drive Promaster Diver Men's Chronograph 46mm Watch CA0715-03E,149.99,29,officialwatchdeals,33655.0,Citizen,336 viewed per day,,
69,,,,3 product ratings,,,100.0,"A brand-new, unused, and unworn item (including handmade items) in the original packaging (such as ",,,,Details about  NEW Invicta Men's 52mm Pro Diver OCEAN MASTER CHARCOAL Dial Gold Tone SS Watch,69.99,45,invicta_deals,21038.0,Invicta,4 viewed per hour,,
70,,,,4 product ratings,,,99.6,"A brand-new, unused, and unworn item (including handmade items) in the original packaging (such as ",,,,Details about  Invicta Men's Pro Diver 19837 Quartz Chronograph 18K Gold Ion-Plated SS Watch,84.03,104,timepiece-trading,18316.0,Invicta,4 viewed per hour,,
71,,,,157 product ratings,,,99.3,"A brand-new, unused, and unworn item (including handmade items) in the original packaging (such as ",,Black,,Details about  Casio Men's Watch G-Shock Black and Red Ana-Digital Dial Strap Watch GA100-1A4,62.47,776,mygiftstop,99157.0,Casio,8 viewed per hour,,
72,,,,5 product ratings,,,99.3,"A brand-new, unused, and unworn item (including handmade items) in the original packaging (such as ",,,,Details about  Wenger Men's Watch Quartz Black Dial SS Band 01.1641.111 - Authorized Dealer,56.99,102,mygiftstop,99157.0,Wenger,1 viewed per hour,,
73,,,,,,,99.6,"A brand-new, unused, and unworn item (including handmade items) in the original packaging (such as ",,,,Details about  Invicta Men's Pro Diver Quartz 3 Hand Steel Case Black Dial Rubber Watch 90305,63.65,4,timepiece-trading,18316.0,2(X)IST,25 viewed per day,,
74,,,,,,,99.3,"A brand-new, unused, and unworn item (including handmade items) in the original packaging (such as ",,,,Details about  TechnoMarine Men's Technocell TM-318036 44mm Silver Dial Silicone Watch,69.99,76,watchgooroo,64165.0,Technomarine,51 viewed per day,,
75,,,,25 product ratings,,,99.7,"A brand-new, unused, and unworn item (including handmade items) in the original packaging (such as ",,White Dial (Rose Gold Hands),,Details about  Orient Men's 2nd Gen. Bambino Automatic Stainless Steel Watch - FAC00008W0 NEW,97.99,42,dexclusive-fashion,22906.0,ORIENT,13 viewed per hour,,
76,,,,64 product ratings,,,100.0,"A brand-new, unused, and unworn item (including handmade items) in the original packaging (such as ",,,,Details about  Invicta Mens Pro Diver Scuba Chronograph Silver Black Dial Strap SS Watch 21927,94.99,34,incredideals088,5206.0,Invicta,2 viewed per hour,,
77,,,,10 product ratings,,,99.7,,,,,Details about  Bulova Women's Quartz Swarovski Crystal Accents Silver-Tone 32.5mm Watch 96L257,99.99,332,watcheshalfprice,66154.0,Bulova,,,
78,,,,,,,98.3,"A brand-new, unused, and unworn item (including handmade items) in the original packaging (such as ",,,,Details about  Fossil Janice Quartz Movement Silver Dial Ladies Watches BQ3382,45.99,1,certified-watch-store,44978.0,Fossil,1 viewed per hour,,
79,,,,,,,99.4,,,,,Details about  Women Ladies Pink Dial Dress Watches Waterproof Steel Band Analog Quartz Watch,13.99,634,bestseller2046,117636.0,Unbranded,3 viewed per hour,,
80,,,,4 product ratings,,,100.0,"A brand-new, unused, and unworn item (including handmade items) in the original packaging (such as ",,,,Details about  Citizen Blue Dial Stainless Steel Automatic Men's Watch NH8360-80L,119.99,33,chronobuy,1035.0,Citizen,1 viewed per hour,,
81,,,,,,,99.7,"A brand-new, unused, and unworn item (including handmade items) in the original packaging (such as ",,,,Details about  Casio Women's Classic Digital Quartz Transparent Resin Watch F91WS,19.99,238,shopemco,130710.0,Casio,484 viewed per day,,
82,,,,62 product ratings,,,99.3,"A brand-new, unused, and unworn item (including handmade items) in the original packaging (such as ",,,,Details about  Casio Men's Watch Sports Outgear Digital Dial Alarm Dive Black Strap SGW100-2B,39.99,7,mygiftstop,99157.0,Casio,9 viewed per hour,,
83,,,,5 product ratings,,,99.8,"A brand-new, unused, and unworn item (including handmade items) in the original packaging (such as ",,,,Details about  Michael Kors Man's MK8733 Lexington Black Stainless Steel Watch,99.5,39,everluxewatches,5954.0,Michael Kors,15 viewed per hour,,
84,,,,3 product ratings,,,99.9,"A brand-new, unused, and unworn item (including handmade items) in the original packaging (such as ",,,,Details about  Movado 0606909 Men's Sport Black  Quartz Watch,288.47,91,purchasedirect,6463.0,Movado,25 viewed per day,,
85,,,,29 product ratings,,,99.3,"A brand-new, unused, and unworn item (including handmade items) in the original packaging (such as ",,,,Details about  Invicta Men's Watch Pro Diver Quartz Blue Dial Yellow Gold Bracelet 26974,50.99,358,mygiftstop,99157.0,Invicta,7 viewed per hour,,
86,,,,1 product rating,,,100.0,"A brand-new, unused, and unworn item (including handmade items) in the original packaging (such as ",,,,Details about  New Invicta Men 52MM SEA DRAGON Venom Black MOTHER OF PEARL Dial Chrono SS Watch,147.99,15,invicta-outlet,370.0,Invicta,6 viewed per hour,,
87,,,,1 product rating,,,99.7,"A brand-new, unused, and unworn item (including handmade items) in the original packaging (such as ",,,,Details about  Ingersoll Mens Regent Quartz Chronograph Watch - I00103 NEW,74.95,43,dexclusive-fashion,22906.0,Ingersoll,1 viewed per hour,,
88,,,,931 product ratings,,,99.3,"A brand-new, unused, and unworn item (including handmade items) in the original packaging (such as ",,,,Details about  Invicta Men's Watch Pro Diver Quartz Black Dial Dive Quartz Bracelet 8932OB,49.99,"1,039",mygiftstop,99157.0,Invicta,42 viewed per hour,,
89,,,,,,,99.7,"A brand-new, unused, and unworn item (including handmade items) in the original packaging (such as ",,,,Details about  Guess Men's Bolt Quartz Silicone Strap Watch - W1302G4 NEW,54.99,30,dexclusive-fashion,22906.0,GUESS,4 viewed per hour,,
90,,,,44 product ratings,,,100.0,,,,,Details about  Citizen Eco-Drive Men's PRT Silver-Tone Bracelet 42mm Watch AW7031-54A,69.99,675,officialwatchdeals,33655.0,Citizen,118 viewed per day,,
91,,,,,,,99.2,"A brand-new, unused, and unworn item (including handmade items) in the original packaging (such as ",,,,Details about  Invicta Pro Diver Quartz Blue Dial Yellow Gold-tone Men's Watch 30694,46.44,31,Jomashop,161109.0,Invicta,,,
92,,,,180 product ratings,,,99.3,"A brand-new, unused, and unworn item (including handmade items) in the original packaging (such as ",,Blue,,Details about  Invicta Men's Watch Pro Diver Automatic Two Tone Stainless Steel Bracelet 8928OB,81.5,"1,678",mygiftstop,99157.0,Invicta,8 viewed per hour,,
93,,,,6 product ratings,,,98.5,"A brand-new, unused, and unworn item (including handmade items) in the original packaging (such as ",,,,Details about  Casio Digital Alarm Quartz Calendar Stainless Steel Unisex Classic Watch -168WA,17.5,81,adam-909,66.0,Casio,4 viewed per hour,,
94,,,,1 product rating,,,100.0,The item has been restored to working order by the eBay seller or a third party. This means the item ,,,,Details about  Citizen Eco-Drive Men's Chronograph Date Display Black 39mm Watch AT0205-01E,84.99,49,officialwatchdeals,33655.0,Citizen,7 watched in last 24 hours,,
95,,,,,,,98.5,"A brand-new, unused, and unworn item (including handmade items) in the original packaging (such as ",,,,Details about  NEW Invicta Men's 52mm Bolt Automatic Open Heart Silver Gold Tone Bracelet Watch,119.0,17,dualtimezone,9041.0,Invicta,6 viewed per hour,,
96,,,,6 product ratings,,,99.9,"A brand-new, unused, and unworn item (including handmade items) in the original packaging (such as ",,,,Details about  Movado 3600444 Men's Bold Blue Quartz Watch,226.59,76,purchasedirect,6463.0,Movado,3 viewed per hour,,
97,,,,,,,99.9,"A brand-new, unused, and unworn item (including handmade items) in the original packaging (such as ",,,,Details about  Bulova 98L247 Women's Crystal Turn Style White Quartz Watch,117.39,72,purchasedirect,6463.0,Bulova,32 viewed per day,,
98,,,,31 product ratings,,,99.2,"A brand-new, unused, and unworn item (including handmade items) in the original packaging (such as ",,,,Details about  Invicta Pro Diver Black Dial Stainless Steel 40 mm Men's Watch 26970,49.54,33,Jomashop,161109.0,Invicta,2 viewed per hour,,
99,,,,,,,100.0,"A brand-new, unused, and unworn item (including handmade items) in the original packaging (such as ",,,,Details about  Bulova Men's Quartz Calendar Gold Tone Accents Blue 44mm Watch 98B345,79.99,85,officialwatchdeals,33655.0,Bulova,10 viewed per hour,,
100,,,,9 product ratings,,,99.6,"A brand-new, unused, and unworn item (including handmade items) in the original packaging (such as ",,,,Details about  Invicta Women's Rare Lupah White MOP Dial Grey Genuine Leather Watch 23011,31.96,100,timepiece-trading,18316.0,Invicta,24 viewed per day,,
101,,,,5 product ratings,,,98.4,"A brand-new, unused, and unworn item (including handmade items) in the original packaging (such as ",,,,Details about  Mens Watch Mechanical White Dial Date Leather Self-winding Tourbillon Luxury,39.99,77,idsonlinestore,86203.0,ESS,1 viewed per hour,,
102,,,,2 product ratings,,,99.4,"A brand-new, unused, and unworn item (including handmade items) in the original packaging (such as ",,,,Details about  Technomarine Men's Cruise Quartz Stainless Steel Silicone Casual Watch TM-115356,79.97,69,the_image,6897.0,TechnoMarine,70 viewed per day,,
103,,,,5 product ratings,,,100.0,,,,,Details about  Citizen Eco-Drive Men's Silver-Tone Calendar Window 42mm Watch BM8530-89A,53.99,129,officialwatchdeals,33655.0,Citizen,4 sold in last 24 hours,,
104,,,,1 product rating,,,99.9,"A brand-new, unused, and unworn item (including handmade items) in the original packaging (such as ",,,,Details about  Movado 0607393 Men's Quadro Black Quartz Watch,277.55,17,purchasedirect,6463.0,Movado,1 viewed per hour,,
105,,,,7 product ratings,,,99.6,"A brand-new, unused, and unworn item (including handmade items) in the original packaging (such as ",,,,Details about  Invicta Men's Pro Diver Stainless Steel Date Black Dial Red Bezel Watch 22020,68.2,17,timepiece-trading,18316.0,Invicta,2 viewed per hour,,
106,,,,,,,99.8,"A brand-new, unused, and unworn item (including handmade items) in the original packaging (such as ",,,,Details about  Michael Kors Women's MK3989 Nia Gold Tone Stainless Steel Watch,79.95,99,everluxewatches,5954.0,Michael Kors,203 viewed per day,,
107,,,,16 product ratings,,,100.0,"A brand-new, unused, and unworn item (including handmade items) in the original packaging (such as ",,,,Details about  NEW Invicta Men's Specialty PILOT Chronograph BLUE DIAL 18K Gold Plated SS Watch,77.99,2,invicta_deals,21038.0,Invicta,4 viewed per hour,,
108,,,,25 product ratings,,,100.0,,,,,Details about  Citizen Eco-Drive Men's Chronograph Perpetual Calendar 44mm Watch BL5470-06A,109.99,119,officialwatchdeals,33655.0,Citizen,150 viewed per day,,
109,,,,72 product ratings,,,99.9,"A brand-new, unused, and unworn item (including handmade items) in the original packaging (such as ",,,,Details about  Invicta Mens 300M Grand Diver Automatic Classic Black Dial Stainless Steel Watch,104.0,61,jaaneshaista_123,19273.0,Invicta,11 viewed per hour,,
110,,,,1 product rating,,,100.0,"A brand-new, unused, and unworn item (including handmade items) in the original packaging (such as ",,,,Details about  Invicta Men's 52mm Pro Diver SCUBA Chrono BLUE FIBER GLASS DIAL Gold 2Tone Watch,97.99,21,invicta_deals,21038.0,Invicta,8 viewed per hour,,
111,,,,,,,99.3,"A brand-new, unused, and unworn item (including handmade items) in the original packaging (such as ",,,,Details about  Nautica Men's NAPHCP902 Hillcrest 44mm Blue Dial Leather Watch,44.99,7,watchgooroo,64165.0,Nautica,25 viewed per day,,
112,,,,1 product rating,,,99.3,"A brand-new, unused, and unworn item (including handmade items) in the original packaging (such as ",,Black,,Details about  Invicta Men's Watch Specialty Black Case Blue Dial Silicone Strap 30717,48.98,42,mygiftstop,99157.0,Invicta,1 viewed per hour,,
113,,,,3 product ratings,,,100.0,"A brand-new, unused, and unworn item (including handmade items) in the original packaging (such as ",,,,Details about  Invicta Men's 52mm BOLT SWISS Chrono BLUE COMPASS DIAL Silver/Blue Tone Watch,107.89,9,invicta_deals,21038.0,Invicta,13 viewed per hour,,
114,,,,,,,99.8,"A brand-new, unused, and unworn item (including handmade items) in the original packaging (such as ",,,,Details about  Movado Bold Black Dial Rose Gold Ladies Watch 3600463,260.0,50,passthewatch,10126.0,Movado,9 viewed per hour,,
115,,,,497 product ratings,,,99.3,"A brand-new, unused, and unworn item (including handmade items) in the original packaging (such as ",,Black,,Details about  Invicta Men's Watch Pro Diver Scuba Chronograph Black Dial Two Tone Strap 6981,84.99,70,mygiftstop,99157.0,Invicta,1 viewed per hour,,
116,,,,3 product ratings,,,99.8,"A brand-new, unused, and unworn item (including handmade items) in the original packaging (such as ",,,,Details about  Michael Kors Women's MK6718 Ritz Pink Stainless Steel Watch,87.5,89,everluxewatches,5954.0,Michael Kors,21 viewed per hour,,
117,,,,14 product ratings,,,99.3,"A brand-new, unused, and unworn item (including handmade items) in the original packaging (such as ",,,,Details about  Invicta I-Force 19656 Men's Round Analog Chronograph Black Polyurethane Watch,59.99,227,giftstreet123,209674.0,Invicta,91 viewed per day,,
118,,,,1 product rating,,,99.7,"A brand-new, unused, and unworn item (including handmade items) in the original packaging (such as ",,,,Details about  Zeppelin Men's Series LZ129 Hindenburg Automatic Watch - 7064-2 NEW,229.99,24,dexclusive-fashion,22906.0,Zeppelin,9 viewed per hour,,
119,,,,4 product ratings,,,99.7,"A brand-new, unused, and unworn item (including handmade items) in the original packaging (such as ",,Luminous Dial,,Details about  Orient Men's Mako XL Automatic Stainless Steel Diving Watch - FEM75005R9 NEW,139.99,76,dexclusive-fashion,22906.0,Orient,23 viewed per hour,,
120,,,,542 product ratings,,,97.6,"A brand-new, unused, and unworn item (including handmade items) in the original packaging (such as ",,,,Details about  NEW Michael Kors MK5896 Parker Ladies Women Watch Rose Gold-Tone Crystal 39MM,95.99,111,ryaklosdun_0,1428.0,Michael Kors,18 viewed per hour,,
121,,,,22 product ratings,,,100.0,,,,,Details about  Citizen Eco-Drive Men's Proximity Chronograph Black 46mm Smart Watch BZ1005-51E,129.99,256,officialwatchdeals,33655.0,Citizen,,,
122,,,,,,,99.7,"A brand-new, unused, and unworn item (including handmade items) in the original packaging (such as ",,,,Details about  Invicta Women's 30481 Pro Diver Quartz 3 Hand Blue Dial Watch,51.75,70,shopemco,130710.0,Invicta,2 viewed per hour,,
123,,,,,,,99.5,"A brand-new, unused, and unworn item (including handmade items) in the original packaging (such as ",,,,Details about  Men's LED Military Digital Calendar Chrono Sports Dual Time Waterproof Watch US,15.57,221,maplesone,40676.0,SKMEI,9 viewed per hour,,
124,,,,,,,100.0,"A brand-new, unused, and unworn item (including handmade items) in the original packaging (such as ",,,,Details about  Invicta Mens Pro Diver SCUBA Chronograph 18Kt Gold Blue Dial White Strap Watch,92.99,72,incredideals088,5206.0,Invicta,2 viewed per hour,,
125,,,,,,,99.1,"A brand-new, unused, and unworn item (including handmade items) in the original packaging (such as ",,,,Details about  Fashion Sport Men's Stainless Steel Case Leather Band Quartz Analog Wrist Watch,0.99,"1,066",nice_craft,228124.0,Unbranded,1 sold in last hour,,
126,,,,,,,99.9,"A brand-new, unused, and unworn item (including handmade items) in the original packaging (such as ",,,,Details about  Stuhrling Aqua-Diver 3968 Swiss Quartz Men's Rose  Bracelet Black Dial Watch,79.99,182,stuhrling,8371.0,Stührling,78 viewed per day,,
127,,,,35 product ratings,,,99.7,,,,,Details about  Bulova Women's Quartz Swarvoski Crystal Accents Two-Tone 23mm Watch 98L212 ,59.99,191,watcheshalfprice,66154.0,Bulova,,,
128,,,,8 product ratings,,,99.9,"A brand-new, unused, and unworn item (including handmade items) in the original packaging (such as ",,,,Details about  Stuhrling Aqua-Diver 3968 Swiss Quartz Men's Silver Bracelet Black Dial Watch,79.99,224,stuhrling,8371.0,Stuhrling,15 viewed per hour,,
129,,,,21 product ratings,,,99.7,"A brand-new, unused, and unworn item (including handmade items) in the original packaging (such as ",,,,Details about  Authentic Nixon Passport Swiss GMT World-Time 49-MM Black Strap Watch A321000-00,89.95,31,dealsbychanag,2870.0,Nixon,10 viewed per hour,,
130,,,,,,,99.6,"A brand-new, unused, and unworn item (including handmade items) in the original packaging (such as ",,,,Details about  SKMEI Men's Digital Army Military Sport Quartz Analog Chrono Waterproof Watch US,13.84,382,vigormall,1357.0,SKMEI,6 viewed per hour,,
131,,,,4 product ratings,,,99.3,"A brand-new, unused, and unworn item (including handmade items) in the original packaging (such as ",,,,Details about  Invicta 19218 Lady's Chrono Rose Gold Dial Rose Gold Steel Watch,58.75,2,mygiftstop,99157.0,Invicta,2 viewed per hour,,
132,,,,,,,99.3,"A brand-new, unused, and unworn item (including handmade items) in the original packaging (such as ",,,,Details about  TechnoMarine Men's Manta TM-218004 47mm Silver Dial Silicone Watch,69.99,51,watchgooroo,64165.0,Technomarine,47 viewed per day,,
133,,,,,,,99.7,"A brand-new, unused, and unworn item (including handmade items) in the original packaging (such as ",,,,Details about  Guess Ladies Nova Quartz Watch - W1313L1 NEW,44.99,39,dexclusive-fashion,22906.0,GUESS,4 viewed per hour,,
134,,,,186 product ratings,,,99.3,"A brand-new, unused, and unworn item (including handmade items) in the original packaging (such as ",,Blue,,Details about  Invicta Men's Watch Pro Diver Blue and Silver Tone Dial Chrono Bracelet 0070,78.96,"1,507",mygiftstop,99157.0,Invicta,12 viewed per hour,,
135,,,,1 product rating,,,99.8,"A brand-new, unused, and unworn item (including handmade items) in the original packaging (such as ",,,,Details about  Diesel Men's DZ4476 Mega Chief Stainless steel and Leather Chronograph Watch,114.5,16,everluxewatches,5954.0,Diesel,4 viewed per hour,,
136,,,,,,,99.3,"A brand-new, unused, and unworn item (including handmade items) in the original packaging (such as ",,,,Details about  Calvin Klein Men's Posh K8Q371C1 42mm Black Dial Leather Chronograph Watch,49.99,251,watchgooroo,64165.0,Calvin Klein,3 viewed per hour,,
137,,,,19 product ratings,,,98.4,"A brand-new, unused, and unworn item (including handmade items) in the original packaging (such as ",,,,Details about  Victorinox Swiss Army Men's Quartz Watch Grey Dial Nylon Strap 241515,58.99,172,gcbuys,321.0,Victorinox,15 viewed per hour,,
138,,,,,,,99.3,"A brand-new, unused, and unworn item (including handmade items) in the original packaging (such as ",,,,Details about  Timex Men's Watch Waterbury Chronograph Cream Dial Leather Strap TW2R88200,43.99,16,mygiftstop,99157.0,Timex,3 viewed per hour,,
139,,,,13 product ratings,,,99.7,,,,,Details about  Bulova Women's Quartz Diamond Accent Date Calendar Two-Tone 32mm Watch 98R169,74.99,148,watcheshalfprice,66154.0,Bulova,,,
140,,,,2 product ratings,,,99.7,,,,,Details about  Bulova Women's Quartz Silver-Tone Calendar Stainless Steel 25mm Watch 96M111,39.99,132,watcheshalfprice,66154.0,Bulova,66 viewed per day,,
141,,,,3 product ratings,,,99.7,,,,,Details about  Bulova Women's Quartz Diamond Accents Silver-Tone 26mm Watch 98P164,46.99,78,watcheshalfprice,66154.0,Bulova,,,
142,,,,8 product ratings,,,98.4,"A brand-new, unused, and unworn item (including handmade items) in the original packaging (such as ",,,,Details about  Mens Watch Automatic Silver Stainless Steel Case Self-winding Date Analog Luxury,25.3,189,idsonlinestore,86203.0,ESS,2 viewed per hour,,
143,,,,,,,97.5,"A brand-new, unused, and unworn item (including handmade items) in the original packaging (such as ",,,,Details about  Men's Luxury Designer Style Bling White Gold PT Simulated Diamond Bracelet Watch,,215,blingfactory,10603.0,BLINGFACTORY,4 viewed per hour,,
144,,,,,,,99.3,"A brand-new, unused, and unworn item (including handmade items) in the original packaging (such as ",,,,Details about  Calvin Klein Men's City K2G2G1B1 43mm Black Dial Stainless Steel/Silicone Watch,39.99,89,watchgooroo,64165.0,Calvin Klein,25 viewed per day,,
145,,,,7 product ratings,,,100.0,,,,,Details about  Citizen Eco-Drive Men's Day-Date Indicator Black Dial 42mm Watch BU4023-54E,82.99,49,officialwatchdeals,33655.0,Citizen,5 sold in last 24 hours,,
146,,,,12 product ratings,,,100.0,"A brand-new, unused, and unworn item (including handmade items) in the original packaging (such as ",,,,Details about  Bulova Wilton Men's Automatic Power Reserve Two-Tone Bracelet 42mm Watch 98A213,179.99,235,officialwatchdeals,33655.0,Bulova,,,
147,,,,19 product ratings,,,98.3,"A brand-new, unused, and unworn item (including handmade items) in the original packaging (such as ",,,,Details about  Victorinox Original Grey Men's Quartz Military Watch 241515,51.86,216,certified-watch-store,44978.0,Victorinox,15 watched in last 24 hours,,
148,,,,21 product ratings,,,100.0,,,,,Details about  Citizen Eco-Drive Men's Chronograph Multi Dial Calendar 43mm Watch AT2129-58A,92.99,444,officialwatchdeals,33655.0,Citizen,282 viewed per day,,
149,,,,10 product ratings,,,98.4,"A brand-new, unused, and unworn item (including handmade items) in the original packaging (such as ",,,,Details about  Invicta Men's Watch Pro Diver Quartz Gunmetal Dial Silver Tone Bracelet 30806,51.99,21,gcbuys,321.0,Invicta,2 viewed per hour,,
150,,,,65 product ratings,,,99.7,"A brand-new, unused, and unworn item (including handmade items) in the original packaging (such as ",,,,Details about  Casio G-Shock DW-5600BB-1 Black Resin Digital Men's Watch,83.95,230,discount-gifts,1471.0,Casio,17 viewed per hour,,
151,,,,10 product ratings,,,100.0,,,,,Details about  Citizen Eco-Drive Men's Brycen Chronograph Multi Dial 44mm Watch AT2370-55F,104.99,532,officialwatchdeals,33655.0,Citizen,256 viewed per day,,
152,,,,53 product ratings,,,99.7,"A brand-new, unused, and unworn item (including handmade items) in the original packaging (such as ",,,,Details about  Casio Men's Gold tone Data Bank Watch DB360G-9A,42.99,"1,098",shopemco,130710.0,Casio,3 viewed per hour,,
153,,,,3 product ratings,,,99.2,"A brand-new, unused, and unworn item (including handmade items) in the original packaging (such as ",,,,Details about  Tissot PR100 Silver Dial Brown Leather Men's Watch T1014512603100,162.96,382,Jomashop,161109.0,Tissot,3 viewed per hour,,
154,,,,1 product rating,,,99.7,"A brand-new, unused, and unworn item (including handmade items) in the original packaging (such as ",,,,Details about  Seiko Men's Prospex Turtle Save The Ocean Diver's Automatic Watch SRPD21K1 NEW,277.99,4,dexclusive-fashion,22906.0,Seiko,4 viewed per hour,,
155,,,,27 product ratings,,,99.8,"A brand-new, unused, and unworn item (including handmade items) in the original packaging (such as ",,,,Details about  NEW Victorinox Swiss Army Men's 249087 Original XL Swiss Quartz Black Watch,98.5,379,everluxewatches,5954.0,Victorinox,,,
156,,,,71 product ratings,,,99.7,"A brand-new, unused, and unworn item (including handmade items) in the original packaging (such as ",,,,Details about  Orient Men's 'Ray II' Japanese Automatic Stainless Steel Diving Watch FAA02005D9,122.99,349,dexclusive-fashion,22906.0,Orient,10 viewed per hour,,
157,,,,56 product ratings,,,100.0,,,,,Details about  Citizen Eco-Drive Men's Silver-Tone Dial Bracelet 42mm Watch BM6010-55A,53.99,254,officialwatchdeals,33655.0,Citizen,2 watched in last hour,,
158,,,,16 product ratings,,,100.0,,,,,Details about  Citizen Eco-Drive Men's Nighthawk Chronograph Silver-Tone 43 mm Watch CA4370-52E,119.99,361,officialwatchdeals,33655.0,Citizen,121 viewed per day,,
159,,,,1 product rating,,,99.9,"A brand-new, unused, and unworn item (including handmade items) in the original packaging (such as ",,,,Details about  Invicta Men's 30798 Pro-Diver Chronograph Stainless Steel Charcoal Dial Watch,49.95,9,kingdomofwatches,3575.0,Invicta,3 viewed per hour,,
160,,,,12 product ratings,,,99.3,"A brand-new, unused, and unworn item (including handmade items) in the original packaging (such as ",,,,Details about  Invicta S1 Rally 26101 Men's Round Black & Green Analog Chronograph Date Watch,59.14,366,giftstreet123,209674.0,Invicta,,,
161,,,,15 product ratings,,,99.3,"A brand-new, unused, and unworn item (including handmade items) in the original packaging (such as ",,,,Details about  Victorinox Swiss Army Men's Watch Night Vision Black Dial Strap Quartz 241664,134.99,192,mygiftstop,99157.0,Victorinox Swiss Army,19 viewed per hour,,
0,Details about  SMAEL Men's Military Sport Wrist Watch Quartz Dual Movement with Analog Digital,13.17,,,accbetter,,99.7,"A brand-new, unused, and unworn item (including handmade items) in the original packaging (such as ",SMAEL,,310 viewed per day,,,,,,,,"8,608",92335
1,Details about  Men's Waterproof Dress Sport Date Analog Quartz Wrist Watch Business Watches B-1,13.64,,,umissmall,,99.5,"A brand-new, unused, and unworn item (including handmade items) in the original packaging (such as ",BELUSHI,,24 viewed per hour,,,,,,,,"2,629",17589
